Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R7,1K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,145.034,-76.835,180,bottom
R8,3K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,168.783,-116.205,90,bottom
R9,1K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,132.334,-71.882,0,bottom
R10,240R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,163.5506,-100.8126,270,bottom
R11,240R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,180.7972,-108.4199,180,bottom
R12,47K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,178.2953,-78.486,270,bottom
R13,47K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,177.2031,-78.486,270,bottom
R14,100R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,184.6707,-103.0732,180,bottom
R15,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,176.149,-98.425,0,bottom
R16,0R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,153.416,-143.002,180,bottom
R17,0R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,151.638,-146.431,90,bottom
R18,2K2,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,173.99,-123.698,180,bottom
R19,2K2,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,173.99,-130.048,180,bottom
R20,10R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,140.081,-110.236,270,bottom
R21,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,140.716,-108.585,0,bottom
R22,1K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,147.066,-108.712,90,bottom
R23,0R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,147.447,-103.759,270,bottom
R24,0R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,149.479,-92.329,270,bottom
R25,0R,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,151.638,-106.299,180,bottom
R26,2K2,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,175.006,-127.508,270,bottom
R40,47K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,176.1109,-78.486,270,bottom
R41,47K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,171.7167,-78.486,270,bottom
R42,47K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,170.6499,-78.486,270,bottom
R52,1K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,190.502409,-95.600767,45,bottom
U3,SE8233X2,SOT-23,173.99,-135.382,0,bottom
U5,SiP3250x,SOT-23-6_Handsoldering,169.164,-129.667,270,bottom
U6,SiP3250x,SOT-23-6_Handsoldering,173.99,-119.634,270,bottom
X1,NX2016SA-24M,Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,144.145,-109.855,0,bottom
Y1,NX2012SA32768K1,Crystal_SMD_2012-2Pin_2.0x1.2mm_HandSoldering,145.923,-103.3272,270,bottom
